"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Kdm5b",1.39986197431781e-40,0.259718610238781,0.248,0.161,2.0239204424687e-36
"Pik3r1",1.88094855893082e-40,0.278162719999808,0.443,0.368,2.71947542650218e-36
"Lef1",8.41439533230646e-40,0.28959132291812,0.407,0.331,1.21655327714487e-35
"Ube2h",3.18479534855413e-39,0.277134274575902,0.325,0.242,4.60457711493956e-35
"2810474O19Rik",3.69522491928887e-39,0.270422937912248,0.396,0.313,5.34255618830785e-35
"Foxp1",3.09620309647338e-38,0.270604481455139,0.418,0.34,4.47649043688122e-34
"Ahcyl2",4.69927755843743e-34,0.298472242689884,0.366,0.297,6.79421549398884e-30
"Traf3ip3",5.03778973497174e-34,0.262094297993026,0.449,0.392,7.28363639882215e-30
"Usp3",1.12808908862054e-33,0.26851663723837,0.334,0.263,1.63099120432757e-29
"Galnt10",1.57003008558473e-31,0.294271789599178,0.293,0.225,2.26994949773841e-27
"Pecam1",3.73110410718645e-31,0.261202870510165,0.299,0.228,5.39443031817018e-27
"Zscan29",4.89478668534442e-28,0.285773278515316,0.236,0.171,7.07688258967096e-24
"4932438A13Rik",3.23871143613566e-27,0.268433255021938,0.463,0.419,4.68252899436494e-23
"Samd9l",7.31298831714962e-22,0.256997120055347,0.355,0.304,1.05731185089349e-17
"Nrp1",1.62962006625798e-13,0.289410537845471,0.428,0.406,2.35610469179579e-09
