"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","otherlog"
"Ift52",0.0839113876047435,-0.00510305839195607,0.218,0.254,1,0.297821
"Cep44",0.0839322681852865,-0.0114785740168375,0.122,0.15,1,0.684291
"Parp6",0.0840302358803627,0.0424151993823449,0.103,0.084,1,0.560827
"Pogz",0.084231454817644,-0.00197233161290911,0.101,0.128,1,-0.407063
"Mtfr1l",0.0843976008395554,0.0145701012819444,0.176,0.213,1,0.238734
"Cd69",0.0844394866144147,0.0836009547573599,0.14,0.176,1,0.177006
"Snx14",0.0844812638141108,0.096980681388381,0.155,0.136,1,0.370514
"Cd79b",0.0847548099727723,0.064283553948709,0.158,0.137,1,1.43603
"Crot",0.0847612565555624,0.0694557790795801,0.284,0.262,1,0.520754
"Zbtb1",0.0850040536227519,0.118796981679822,0.407,0.406,1,0.0646837
"Pptc7",0.085129567279535,-0.000477050420496727,0.333,0.386,1,0.215677
"Adipor1",0.0853417376995687,-0.0116897654671944,0.421,0.488,1,-0.00451563
"BC018507",0.0853687964075424,0.012294164229077,0.264,0.314,1,NA
"Apopt1",0.0855986116729687,-0.0148691175124923,0.124,0.152,1,0.320598
"Sec16a",0.0857564206836252,0.0212768053523373,0.239,0.287,1,-0.424646
"Trappc8",0.0859078198018658,0.0051150197123192,0.264,0.312,1,-0.19463
"Sp110",0.0859919268224846,0.0148389212828766,0.312,0.363,1,0.471315
"1110008P14Rik",0.0859985644664665,-0.0215499414575681,0.122,0.148,1,0.0316924
"Mut",0.0860914082028464,0.00133648903875722,0.182,0.215,1,0.141269
"Pde4b",0.0862581034182686,0.120233425944777,0.218,0.199,1,0.655869
"Cpsf7",0.0864374213155376,-0.000788096006530403,0.242,0.285,1,-0.0350228
"Dedd2",0.086594394344702,0.131242525509905,0.248,0.233,1,0.814831
"Phf11b",0.0867328588498999,-0.00895819409510934,0.203,0.238,1,-0.397353
